<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	00:00:00	1.10435	1.10435	1.10415	1.10427	32	0	22
2024.01.02	00:15:00	1.10427	1.10435	1.10413	1.10434	36	0	13
2024.01.02	00:30:00	1.10434	1.10436	1.10423	1.10435	30	0	3
2024.01.02	00:45:00	1.10428	1.10446	1.10416	1.10438	76	0	5
2024.01.02	01:00:00	1.10435	1.10446	1.10384	1.10385	189	0	0
2024.01.02	01:15:00	1.10384	1.10385	1.10373	1.10378	117	0	0
2024.01.02	01:30:00	1.10378	1.10384	1.10364	1.10368	160	0	0
2024.01.02	01:45:00	1.10368	1.10374	1.10358	1.10367	222	0	0
2024.01.02	02:00:00	1.10368	1.10380	1.10368	1.10374	199	0	0
2024.01.02	02:15:00	1.10374	1.10376	1.10344	1.10348	199	0	0
2024.01.02	02:30:00	1.10348	1.10359	1.10348	1.10359	155	0	0
2024.01.02	02:45:00	1.10359	1.10384	1.10358	1.10384	183	0	0
2024.01.02	03:00:00	1.10382	1.10435	1.10378	1.10388	472	0	0
2024.01.02	03:15:00	1.10389	1.10432	1.10388	1.10396	412	0	0
2024.01.02	03:30:00	1.10396	1.10400	1.10370	1.10384	365	0	0
2024.01.02	03:45:00	1.10386	1.10402	1.10344	1.10350	303	0	0
2024.01.02	04:00:00	1.10350	1.10360	1.10316	1.10320	325	0	0
2024.01.02	04:15:00	1.10320	1.10320	1.10262	1.10263	235	0	0
2024.01.02	04:30:00	1.10263	1.10269	1.10222	1.10238	382	0	0
2024.01.02	04:45:00	1.10238	1.10241	1.10184	1.10190	369	0	0
2024.01.02	05:00:00	1.10190	1.10238	1.10178	1.10225	265	0	0
2024.01.02	05:15:00	1.10225	1.10241	1.10208	1.10214	229	0	0
2024.01.02	05:30:00	1.10214	1.10234	1.10210	1.10232	191	0	0
2024.01.02	05:45:00	1.10232	1.10249	1.10232	1.10246	173	0	0
2024.01.02	06:00:00	1.10246	1.10250	1.10210	1.10221	193	0	0
2024.01.02	06:15:00	1.10226	1.10226	1.10194	1.10195	138	0	0
2024.01.02	06:30:00	1.10196	1.10206	1.10176	1.10178	184	0	0
2024.01.02	06:45:00	1.10177	1.10212	1.10168	1.10212	177	0	0
2024.01.02	07:00:00	1.10212	1.10252	1.10210	1.10251	254	0	0
2024.01.02	07:15:00	1.10251	1.10284	1.10248	1.10268	265	0	0
2024.01.02	07:30:00	1.10268	1.10306	1.10266	1.10302	219	0	0
2024.01.02	07:45:00	1.10302	1.10338	1.10296	1.10336	326	0	0
2024.01.02	08:00:00	1.10336	1.10343	1.10319	1.10324	307	0	0
2024.01.02	08:15:00	1.10323	1.10338	1.10301	1.10321	308	0	0
2024.01.02	08:30:00	1.10321	1.10348	1.10310	1.10338	302	0	0
2024.01.02	08:45:00	1.10338	1.10353	1.10269	1.10287	299	0	0
2024.01.02	09:00:00	1.10287	1.10311	1.10247	1.10284	597	0	0
2024.01.02	09:15:00	1.10283	1.10378	1.10278	1.10373	608	0	0
2024.01.02	09:30:00	1.10373	1.10381	1.10299	1.10302	573	0	0
2024.01.02	09:45:00	1.10301	1.10315	1.10154	1.10154	1030	0	0
2024.01.02	10:00:00	1.10164	1.10390	1.10164	1.10325	1142	0	0
2024.01.02	10:15:00	1.10324	1.10341	1.10278	1.10289	892	0	0
2024.01.02	10:30:00	1.10288	1.10330	1.10282	1.10292	791	0	0
2024.01.02	10:45:00	1.10295	1.10331	1.10254	1.10299	864	0	0
2024.01.02	11:00:00	1.10295	1.10365	1.10291	1.10353	758	0	0
2024.01.02	11:15:00	1.10351	1.10381	1.10332	1.10334	618	0	0
2024.01.02	11:30:00	1.10333	1.10352	1.10192	1.10197	704	0	0
2024.01.02	11:45:00	1.10192	1.10200	1.10108	1.10153	801	0	0
2024.01.02	12:00:00	1.10151	1.10171	1.09973	1.10002	810	0	0
2024.01.02	12:15:00	1.10001	1.10059	1.09998	1.10039	736	0	0
2024.01.02	12:30:00	1.10039	1.10103	1.10030	1.10099	652	0	0
2024.01.02	12:45:00	1.10099	1.10112	1.10030	1.10075	786	0	0
2024.01.02	13:00:00	1.10071	1.10076	1.09893	1.09896	907	0	0
2024.01.02	13:15:00	1.09896	1.09920	1.09787	1.09804	996	0	0
2024.01.02	13:30:00	1.09803	1.09803	1.09706	1.09712	932	0	0
2024.01.02	13:45:00	1.09711	1.09730	1.09667	1.09693	702	0	0
2024.01.02	14:00:00	1.09695	1.09720	1.09680	1.09694	584	0	0
2024.01.02	14:15:00	1.09694	1.09696	1.09614	1.09658	633	0	0
2024.01.02	14:30:00	1.09657	1.09683	1.09581	1.09609	695	0	0
2024.01.02	14:45:00	1.09609	1.09635	1.09538	1.09539	755	0	0
2024.01.02	15:00:00	1.09541	1.09588	1.09537	1.09580	904	0	0
2024.01.02	15:15:00	1.09580	1.09622	1.09519	1.09579	948	0	0
2024.01.02	15:30:00	1.09583	1.09651	1.09572	1.09645	903	0	0
2024.01.02	15:45:00	1.09644	1.09649	1.09495	1.09530	892	0	0
2024.01.02	16:00:00	1.09524	1.09574	1.09452	1.09462	1023	0	0
2024.01.02	16:15:00	1.09463	1.09539	1.09449	1.09521	877	0	0
2024.01.02	16:30:00	1.09512	1.09638	1.09512	1.09573	1117	0	0
2024.01.02	16:45:00	1.09596	1.09643	1.09518	1.09630	1457	0	0
2024.01.02	17:00:00	1.09633	1.09684	1.09554	1.09579	1419	0	0
2024.01.02	17:15:00	1.09580	1.09619	1.09532	1.09595	1169	0	0
2024.01.02	17:30:00	1.09594	1.09594	1.09500	1.09527	1281	0	0
2024.01.02	17:45:00	1.09527	1.09557	1.09411	1.09436	1111	0	0
2024.01.02	18:00:00	1.09439	1.09582	1.09410	1.09576	944	0	0
2024.01.02	18:15:00	1.09572	1.09618	1.09558	1.09580	858	0	0
2024.01.02	18:30:00	1.09580	1.09580	1.09445	1.09466	739	0	0
2024.01.02	18:45:00	1.09466	1.09582	1.09466	1.09566	649	0	0
2024.01.02	19:00:00	1.09565	1.09576	1.09482	1.09509	534	0	0
2024.01.02	19:15:00	1.09509	1.09558	1.09459	1.09536	739	0	0
2024.01.02	19:30:00	1.09535	1.09562	1.09516	1.09517	511	0	0
2024.01.02	19:45:00	1.09517	1.09527	1.09469	1.09507	590	0	0
2024.01.02	20:00:00	1.09506	1.09545	1.09480	1.09531	530	0	0
2024.01.02	20:15:00	1.09531	1.09561	1.09526	1.09546	482	0	0
2024.01.02	20:30:00	1.09545	1.09552	1.09478	1.09484	407	0	0
2024.01.02	20:45:00	1.09484	1.09504	1.09465	1.09467	540	0	0
2024.01.02	21:00:00	1.09467	1.09477	1.09428	1.09466	406	0	0
2024.01.02	21:15:00	1.09466	1.09500	1.09445	1.09495	412	0	0
2024.01.02	21:30:00	1.09494	1.09502	1.09462	1.09481	277	0	0
2024.01.02	21:45:00	1.09482	1.09489	1.09453	1.09466	393	0	0
2024.01.02	22:00:00	1.09466	1.09514	1.09457	1.09486	409	0	0
2024.01.02	22:15:00	1.09486	1.09506	1.09458	1.09460	371	0	0
2024.01.02	22:30:00	1.09459	1.09486	1.09459	1.09471	457	0	0
2024.01.02	22:45:00	1.09471	1.09487	1.09423	1.09432	557	0	0
2024.01.02	23:00:00	1.09431	1.09433	1.09396	1.09413	328	0	0
2024.01.02	23:15:00	1.09413	1.09427	1.09392	1.09394	228	0	0
2024.01.02	23:30:00	1.09383	1.09414	1.09383	1.09410	179	0	0
2024.01.02	23:45:00	1.09410	1.09425	1.09406	1.09414	240	0	0
2024.01.03	00:00:00	1.09421	1.09432	1.09383	1.09391	87	0	5
2024.01.03	00:15:00	1.09391	1.09412	1.09378	1.09385	228	0	7
2024.01.03	00:30:00	1.09385	1.09399	1.09381	1.09391	244	0	9
2024.01.03	00:45:00	1.09397	1.09425	1.09395	1.09406	119	0	3
2024.01.03	01:00:00	1.09411	1.09440	1.09411	1.09433	120	0	0
2024.01.03	01:15:00	1.09432	1.09432	1.09416	1.09432	149	0	0
2024.01.03	01:30:00	1.09430	1.09432	1.09416	1.09420	159	0	0
2024.01.03	01:45:00	1.09420	1.09437	1.09410	1.09416	155	0	0
2024.01.03	02:00:00	1.09416	1.09449	1.09414	1.09449	173	0	0
2024.01.03	02:15:00	1.09448	1.09490	1.09442	1.09490	190	0	0
2024.01.03	02:30:00	1.09489	1.09508	1.09484	1.09500	240	0	0
2024.01.03	02:45:00	1.09500	1.09506	1.09484	1.09496	170	0	0
2024.01.03	03:00:00	1.09496	1.09510	1.09481	1.09499	331	0	0
2024.01.03	03:15:00	1.09498	1.09513	1.09450	1.09509	525	0	0
2024.01.03	03:30:00	1.09509	1.09546	1.09504	1.09546	373	0	0
2024.01.03	03:45:00	1.09546	1.09549	1.09510	1.09516	268	0	0
2024.01.03	04:00:00	1.09516	1.09532	1.09500	1.09510	332	0	0
2024.01.03	04:15:00	1.09510	1.09514	1.09487	1.09490	247	0	0
2024.01.03	04:30:00	1.09489	1.09502	1.09488	1.09496	179	0	0
2024.01.03	04:45:00	1.09496	1.09532	1.09494	1.09524	258	0	0
2024.01.03	05:00:00	1.09524	1.09547	1.09489	1.09490	248	0	0
2024.01.03	05:15:00	1.09490	1.09538	1.09490	1.09536	194	0	0
2024.01.03	05:30:00	1.09536	1.09594	1.09534	1.09594	219	0	0
2024.01.03	05:45:00	1.09594	1.09623	1.09593	1.09610	322	0	0
2024.01.03	06:00:00	1.09609	1.09625	1.09598	1.09608	190	0	0
2024.01.03	06:15:00	1.09608	1.09622	1.09604	1.09604	216	0	0
2024.01.03	06:30:00	1.09604	1.09618	1.09595	1.09598	123	0	0
